top_redness,top_norm_redness,bottom_redness,bottom_norm_redness
MEI5,MGT1,YOL162W,YEL025C
PCA1,YDR015C,TCM62,YAR040C
YIL141W,YNR025C,YIL059C,YCH1
CYC3,ODC1,PMP1,YEF1
YET3,YMR114C,NIT2,PYK2
ENO1,YPR127W,PET10,KAR4
BUD3,YPR063C,YDL183C,SNO2
SWS2,ECM21,HXT5,TDH2
PPS1,YMR291W,DFM1,ARP8
SFG1,YGR287C,ECM5,YNG1
YJL185C,UNG1,CIN1,RRT12
KNS1,AIM32,BSD2,PRM9
RGA1,YLR053C,TMN3,MMT2
RRT16,WSC4,SGF73,SNA2
ECL1,YFR054C,JHD1,CNN1
YMR085W,MET32,YLR294C,GRX2
YPL272C,YJL049W,AMD1,YLR294C
YLR171W,THO1,YHL039W,NGR1
MEK1,HHT1,YML131W,YBR235W
YPR170C,NAS6,MDM36,CIT2
YCL013W,YMR155W,DDI3,IRE1
YER034W,YHR140W,YDL027C,YNL035C
SNX3,GEF1,IMH1,RRT5
DBR1,MND2,JLP1,YJR142W
YBL012C,YDR210W,SNC2,YLR123C
YUR1,SRO77,WSS1,RSN1
DCS1,SHC1,YPC1,IRC6
YMR158W-A,HXT4,HMS1,UBR1
ARG1,YNL095C,TRM2,DAK2
PSY2,UGA2,RPL42A,GID7
ATP10,YAL043C-a,TDP1,YMR226C
PUS7,RTC5,SMM1,AAH1
RTG3,MTC7,YLR122C,FRE2
HUL5,FUN14,YJL070C,ALG3
INM2,SCP1,ARP6,ARA2
ARO7,LCB5,SWD1,YML095C-A
INM1,TPK1,ATG1,RGM1
RRG8,YHL044W,YNL035C,YML082W
MRP51,PHM6,YKR043C,THO2
AIM37,LYS14,MNN9,SEY1
YER184C,PNC1,TOS8,FIT2
VTC1,SKN7,BUB2,RPL2B
SPT3,YMR181C,RHO4,MTF1
FIR1,ATG20,UBP14,MAL32
SBP1,CPS1,YGL132W,YMR206W
UBX7,RPL43B,PHO87,OSH2
CHK1,GRX3,GSH2,OAF1
EMP46,SCW10,YDL012C,AIM31
RPL18B,SET3,ADY4,TRX1
GBP2,JID1,GIN4,PHO3
CAJ1,YMR187C,CMP2,TOD6
FAP1,YBR139W,VOA1,YDR401W
YOL114C,CYS3,HAP4,PAT1
COR1,BUD3,CRC1,SHE9
SWD3,BCK2,RRT7,MAD3
DBP1,YGL085W,YDR161W,YSC84
CHA4,BNA2,YDL206W,PML39
ICY1,APJ1,YOX1,SMM1
YIL032C,BCH1,REH1,NQM1
NMA1,CUE4,LOS1,YOL159C
NTE1,VPH1,MDM20,YMR057C
TPA1,NIF3,YLR012C,FMP25
LEE1,UBI4,YML083C,YKL097C
RIF1,DNM1,SHM2,ACM1
BPT1,PCA1,YLR057W,YDL183C
YBP2,YBR137W,MAG1,PUT4
MSB4,PHO91,BNA5,ELC1
VID27,YGR291C,URA8,MLH1
YJL135W,SHE1,ERF2,YKR043C
LEU3,YBR113W,MAM3,IRC22
PAM17,YIL089W,FRE2,YOL162W
BNA4,MKK1,ERV2,YGR031W
EDC2,CUE5,AMD2,UPF3
SIP3,ICY2,PHO5,GLO1
ESC1,ANT1,GAT1,ECM19
ATG4,YJL185C,UFD4,YHR080C
CBP6,REV7,LAP3,BSD2
YNR004W,YLH47,UBC13,EAF7
ECM21,FAA1,YHR078W,RFU1
YHL042W,YLR271W,RAD54,ECM22
PFK2,VCX1,BSC5,RUB1
MGT1,FCY1,YDL180W,RAD28
YPL197C,YIR020W-B,YDR340W,HST3
RPS7B,EDC2,GPD1,YNL338W
AKR1,NMA111,STP22,YMR31
HSM3,YMR279C,AAT2,YET2
YML089C,YBR013C,RRT8,CWC15
MNN4,MDH1,EAF7,EUG1
ISW2,YNR029C,FRE3,RNR3
BUD32,TEL1,YDR149C,BZZ1
RAD5,YNL234W,YDL157C,SCJ1
YDR306C,ERV29,TRK1,TRM11
YNL205C,GTT1,AIM1,YAR030C
RTC5,YLR446W,YKL091C,MDS3
DSK2,JSN1,CNN1,STD1
YSP1,YEH2,YMR057C,AIM18
CBS2,SNQ2,MRPL31,MSH4
GRX7,YJL193W,RPL2B,YKR018C
YIL024C,SRV2,CCW14,HSP150
YJL163C,SPI1,ELO1,HOP2
